signal_month,hold_month,ranked,skipped,n_skipped
2014-04,2014-05,"['XLI', 'XLV', 'XLB']",[],0
2014-05,2014-06,"['XLI', 'XLV', 'XLB']",[],0
2014-06,2014-07,"['XLB', 'XLE', 'XLV']",[],0
2014-07,2014-08,"['XLK', 'XLB', 'XLV']",[],0
2014-08,2014-09,"['XLV', 'XLK', 'XLB']",[],0
2014-09,2014-10,"['XLV', 'XLK', 'XLB']",[],0
2014-10,2014-11,"['XLV', 'XLK', 'XLU']",[],0
2014-11,2014-12,"['XLV', 'XLU', 'XLK']",[],0
2014-12,2015-01,"['XLU', 'XLV', 'XLK']",[],0
2015-01,2015-02,"['XLU', 'XLV', 'XLP']",[],0
2015-02,2015-03,"['XLV', 'XLP', 'XLK']",[],0
2015-03,2015-04,"['XLV', 'XLY', 'XLP']",[],0
2015-04,2015-05,"['XLV', 'XLY', 'XLK']",[],0
2015-05,2015-06,"['XLV', 'XLY', 'XLK']",[],0
2015-06,2015-07,"['XLV', 'XLY', 'XLK']",[],0
2015-07,2015-08,"['XLV', 'XLY', 'XLP']",[],0
2015-08,2015-09,"['XLV', 'XLY', 'XLP']","['XLV', 'XLP']",2
2015-09,2015-10,"['XLY', 'XLP', 'XLU']","['XLY', 'XLP', 'XLU']",3
2015-10,2015-11,"['XLY', 'XLK', 'XLP']",[],0
2015-11,2015-12,"['XLY', 'XLK', 'XLV']",['XLV'],1
2015-12,2016-01,"['XLY', 'XLP', 'XLV']",[],0
2016-01,2016-02,"['XLP', 'XLY', 'XLK']","['XLY', 'XLK']",2
2016-02,2016-03,"['XLU', 'XLP', 'XLY']",['XLY'],1
2016-03,2016-04,"['XLU', 'XLP', 'XLK']",[],0
2016-04,2016-05,"['XLU', 'XLP', 'XLY']",[],0
2016-05,2016-06,"['XLU', 'XLP', 'XLY']",[],0
2016-06,2016-07,"['XLU', 'XLP', 'XLK']",[],0
2016-07,2016-08,"['XLU', 'XLP', 'XLK']",[],0
2016-08,2016-09,"['XLU', 'XLK', 'XLP']",[],0
